timestamps,TP9,Fp1,Fp2,TP10,stim
1676924159.719781,-1.953125,-57.6171875,-71.77734375,-73.73046875,0.0
1676924159.7235315,-11.23046875,-62.01171875,-74.21875,-71.2890625,0.0
1676924159.7272823,-83.984375,-56.640625,-69.3359375,-62.01171875,0.0
1676924159.731033,-124.51171875,-54.19921875,-67.3828125,-53.7109375,0.0
1676924159.7348843,-55.17578125,-55.6640625,-72.75390625,-60.05859375,0.0
1676924159.7387357,-14.16015625,-51.26953125,-74.21875,-51.26953125,0.0
1676924159.7425869,-73.2421875,-46.38671875,-64.453125,-29.296875,0.0
1676924159.746438,-97.65625,-47.8515625,-58.59375,-42.48046875,0.0
1676924159.7502894,-26.3671875,-48.33984375,-62.5,-36.62109375,0.0
1676924159.7541406,9.27734375,-48.828125,-63.96484375,-39.0625,0.0
1676924159.7579918,-45.41015625,-43.9453125,-65.4296875,-57.12890625,0.0
1676924159.7618432,-89.35546875,-47.36328125,-76.66015625,-54.19921875,0.0
1676924159.7656944,-41.50390625,-55.17578125,-74.70703125,-73.2421875,0.0
1676924159.7695456,18.06640625,-45.8984375,-58.59375,-69.3359375,0.0
1676924159.773397,1.46484375,-45.8984375,-53.22265625,-50.29296875,0.0
1676924159.7772481,-57.6171875,-47.8515625,-60.05859375,-49.31640625,0.0
1676924159.7809038,-49.8046875,-26.85546875,-60.05859375,-49.31640625,0.0
1676924159.7845592,15.625,-28.3203125,-59.5703125,-49.31640625,0.0
1676924159.788215,9.27734375,-42.48046875,-62.98828125,-44.43359375,0.0
1676924159.7918706,-67.87109375,-44.43359375,-63.4765625,-31.25,0.0
1676924159.795526,-90.8203125,-35.64453125,-59.08203125,-17.578125,0.0
1676924159.7991817,-21.97265625,-30.76171875,-53.22265625,-17.578125,0.0
1676924159.8028374,17.578125,-41.50390625,-48.33984375,-19.04296875,0.0
1676924159.8064928,-29.78515625,-53.7109375,-48.828125,-41.50390625,0.0
1676924159.8101485,-85.9375,-42.48046875,-60.546875,-63.4765625,0.0
1676924159.8138041,-44.921875,-27.34375,-66.89453125,-58.10546875,0.0
1676924159.8174596,20.01953125,-39.0625,-64.94140625,-62.5,0.0
1676924159.8211153,-25.390625,-55.17578125,-58.10546875,-48.33984375,0.0
1676924159.8261049,-82.51953125,-58.10546875,-52.734375,-27.34375,0.0
1676924159.8310945,-57.12890625,-44.921875,-55.6640625,-46.38671875,0.0
1676924159.8360841,-0.9765625,-30.76171875,-67.87109375,-61.03515625,0.0
1676924159.8410738,-22.4609375,-45.41015625,-73.73046875,-60.546875,0.0
1676924159.8460634,-91.796875,-77.63671875,-73.2421875,-69.3359375,0.0
1676924159.8510528,-73.73046875,-56.640625,-67.3828125,-57.12890625,0.0
1676924159.8560424,-3.41796875,-25.87890625,-58.59375,-37.109375,0.0
1676924159.861032,7.8125,-38.0859375,-65.4296875,-60.546875,0.0
1676924159.8660216,-53.22265625,-46.38671875,-70.3125,-69.3359375,0.0
1676924159.8710113,-95.21484375,-38.0859375,-79.58984375,-40.0390625,0.0
1676924159.876001,-48.828125,-44.43359375,-86.42578125,-48.828125,0.0
1676924159.8809905,-7.32421875,-59.08203125,-86.9140625,-78.61328125,0.0
1676924159.8847275,-52.734375,-43.9453125,-78.125,-55.6640625,0.0
1676924159.8884645,-92.7734375,-32.2265625,-70.80078125,-53.22265625,0.0
1676924159.8922014,-47.36328125,-56.15234375,-77.1484375,-51.7578125,0.0
1676924159.8959382,6.8359375,-62.98828125,-84.47265625,-40.0390625,0.0
1676924159.8996751,-22.94921875,-49.8046875,-84.47265625,-52.734375,0.0
1676924159.903412,-91.30859375,-27.34375,-76.66015625,-50.29296875,0.0
1676924159.907149,-66.89453125,-29.78515625,-75.68359375,-31.73828125,0.0
1676924159.910886,3.41796875,-44.921875,-74.70703125,-23.4375,0.0
1676924159.9146228,-5.37109375,-27.83203125,-76.171875,-13.671875,0.0
1676924159.9183598,-74.70703125,-36.1328125,-79.58984375,-47.36328125,0.0
1676924159.9220967,-83.49609375,-41.015625,-79.1015625,-69.82421875,0.0
1676924159.9258337,-15.625,-32.2265625,-77.1484375,-38.0859375,0.0
1676924159.929614,12.6953125,-41.50390625,-65.4296875,-12.20703125,0.0
1676924159.9333944,-47.36328125,-36.1328125,-60.546875,-14.16015625,0.0
1676924159.9371748,-98.14453125,-35.15625,-73.73046875,-61.5234375,0.0
1676924159.940955,-43.45703125,-54.6875,-89.35546875,-71.77734375,0.0
1676924159.9447353,-2.44140625,-62.01171875,-92.7734375,-29.296875,0.0
1676924159.9485157,-39.55078125,-47.8515625,-83.0078125,-26.3671875,0.0
1676924159.952296,-92.7734375,-37.59765625,-75.68359375,-60.05859375,0.0
1676924159.9560764,-64.453125,-40.0390625,-68.359375,-53.22265625,0.0
1676924159.9598565,-3.41796875,-56.640625,-62.5,-35.15625,0.0
1676924159.9636369,-20.01953125,-66.40625,-74.70703125,-54.19921875,0.0
1676924159.9674172,-67.87109375,-39.0625,-79.1015625,-57.6171875,0.0
1676924159.9711976,-59.5703125,-20.5078125,-79.58984375,-48.828125,0.0
1676924159.9750051,-18.06640625,-30.76171875,-86.9140625,-64.453125,0.0
1676924159.9788127,-1.46484375,-36.1328125,-82.03125,-93.75,0.0
1676924159.9826202,-68.359375,-35.64453125,-81.0546875,-73.2421875,0.0
1676924159.9864278,-116.2109375,-39.55078125,-83.49609375,-33.69140625,0.0
1676924159.9902353,-51.26953125,-41.9921875,-77.63671875,-32.2265625,0.0
1676924159.9940429,-4.8828125,-41.9921875,-78.125,-62.98828125,0.0
1676924159.9978507,-56.15234375,-46.875,-75.1953125,-62.5,0.0
1676924160.0016582,-107.91015625,-45.8984375,-78.61328125,-35.64453125,0.0
1676924160.0054657,-49.8046875,-35.64453125,-96.6796875,-65.91796875,0.0
1676924160.0092733,15.625,-34.66796875,-87.40234375,-83.984375,0.0
1676924160.0130808,-33.69140625,-40.0390625,-65.91796875,-56.640625,0.0
