timestamps,TP9,Fp1,Fp2,TP10,stim
1676923921.3073518,-51.26953125,11.71875,7.32421875,-27.83203125,0.0
1676923921.3110468,-48.828125,-6.8359375,-7.32421875,-25.390625,0.0
1676923921.3147416,-41.50390625,-27.34375,-26.85546875,-30.76171875,0.0
1676923921.3184366,-42.96875,-15.625,-8.30078125,-28.80859375,0.0
1676923921.3222065,-41.015625,-6.8359375,-6.34765625,-30.2734375,0.0
1676923921.3259764,-28.3203125,-9.27734375,-19.53125,-36.1328125,0.0
1676923921.3297465,-34.66796875,-13.671875,-16.6015625,-37.109375,0.0
1676923921.3335164,-44.43359375,-0.9765625,-1.953125,-34.1796875,0.0
1676923921.3372862,-56.640625,-14.16015625,-16.11328125,-42.96875,0.0
1676923921.3410563,-62.98828125,-34.66796875,-34.1796875,-42.48046875,0.0
1676923921.3448262,-46.875,-37.109375,-28.80859375,-21.484375,0.0
1676923921.348596,-46.875,-18.06640625,-12.6953125,-20.01953125,0.0
1676923921.352366,-53.7109375,-6.34765625,-9.27734375,-33.69140625,0.0
1676923921.3561358,-43.9453125,-37.59765625,-21.97265625,-33.69140625,0.0
1676923921.359906,-34.66796875,-49.8046875,-22.4609375,-29.78515625,0.0
1676923921.3636758,-27.83203125,-24.4140625,-0.9765625,-25.390625,0.0
1676923921.3674042,-39.55078125,-21.97265625,-7.8125,-28.3203125,0.0
1676923921.3711324,-43.9453125,-28.80859375,-28.80859375,-43.9453125,0.0
1676923921.3748608,-33.203125,-27.34375,-20.99609375,-40.0390625,0.0
1676923921.3785892,-41.9921875,-22.94921875,-15.625,-30.2734375,0.0
1676923921.3823175,-53.7109375,-28.3203125,-24.90234375,-35.15625,0.0
1676923921.386046,-55.6640625,-59.5703125,-54.6875,-30.2734375,0.0
1676923921.389774,-44.921875,-46.38671875,-45.8984375,-25.87890625,0.0
1676923921.3935025,-31.73828125,-4.39453125,-4.8828125,-35.64453125,0.0
1676923921.3972309,-33.69140625,-18.06640625,-14.16015625,-36.62109375,0.0
1676923921.400959,-32.71484375,-48.828125,-39.55078125,-25.87890625,0.0
1676923921.4046874,-37.109375,-35.64453125,-20.5078125,-18.06640625,0.0
1676923921.4084158,-38.0859375,-7.8125,8.7890625,-30.2734375,0.0
1676923921.4134033,-40.0390625,-25.390625,-9.765625,-30.76171875,0.0
1676923921.418391,-42.96875,-38.0859375,-17.578125,-31.25,0.0
1676923921.4233785,-37.109375,-21.97265625,-12.20703125,-42.48046875,0.0
1676923921.428366,-34.1796875,-11.71875,-17.08984375,-43.45703125,0.0
1676923921.4333537,-35.15625,-20.5078125,-28.80859375,-32.2265625,0.0
