timestamps,TP9,Fp1,Fp2,TP10,stim
1676927042.9606047,-123.046875,-85.9375,-48.828125,-22.4609375,0.0
1676927042.9642975,-107.421875,-80.078125,-77.63671875,13.18359375,0.0
1676927042.9679904,-126.953125,-72.265625,-97.16796875,23.4375,0.0
1676927042.9716833,-109.375,-78.125,-134.27734375,-33.69140625,0.0
1676927042.9754515,-118.1640625,-86.9140625,-178.7109375,-60.546875,0.0
1676927042.9792197,-107.421875,-78.125,-189.94140625,-39.55078125,0.0
1676927042.9829879,-61.5234375,-83.0078125,-212.890625,-68.359375,0.0
1676927042.9867558,-95.21484375,-91.30859375,-234.375,-107.91015625,0.0
1676927042.990524,-94.23828125,-82.03125,-229.4921875,-82.03125,0.0
1676927042.9942923,-66.89453125,-71.77734375,-222.16796875,-58.59375,0.0
1676927042.9980605,-60.05859375,-76.66015625,-222.16796875,-117.1875,0.0
1676927043.0018287,-46.875,-84.9609375,-229.4921875,-147.94921875,0.0
1676927043.0055966,-60.05859375,-83.0078125,-228.02734375,-130.859375,0.0
1676927043.0093648,-33.69140625,-78.61328125,-217.7734375,-95.21484375,0.0
1676927043.013133,-18.06640625,-83.0078125,-225.09765625,-77.1484375,0.0
1676927043.0169013,-58.10546875,-86.42578125,-246.58203125,-86.9140625,0.0
1676927043.019451,-27.34375,-81.0546875,-239.74609375,-78.61328125,0.0
1676927043.0220006,10.7421875,-81.0546875,-226.5625,-40.0390625,0.0
1676927043.0245502,4.39453125,-75.68359375,-228.515625,-19.53125,0.0
1676927043.0270998,16.11328125,-71.77734375,-250.9765625,-19.53125,0.0
1676927043.0296495,57.12890625,-74.21875,-260.25390625,15.13671875,0.0
1676927043.0321994,79.1015625,-70.80078125,-250.9765625,12.6953125,0.0
1676927043.034749,70.80078125,-67.3828125,-251.953125,-30.76171875,0.0
1676927043.0372987,67.87109375,-67.87109375,-260.7421875,-27.34375,0.0
1676927043.0398483,88.37890625,-55.6640625,-254.39453125,-29.296875,0.0
1676927043.042398,96.6796875,-33.69140625,-241.69921875,-53.7109375,0.0
1676927043.0449476,96.6796875,-32.2265625,-263.671875,-73.73046875,0.0
1676927043.0474973,71.77734375,-36.62109375,-280.76171875,-93.75,0.0
1676927043.0524309,56.640625,-14.16015625,-267.578125,-101.07421875,0.0
1676927043.0573645,33.203125,-5.37109375,-275.390625,-130.37109375,0.0
1676927043.0622978,50.78125,-4.8828125,-275.87890625,-128.90625,0.0
1676927043.0672314,55.17578125,6.34765625,-267.578125,-103.02734375,0.0
1676927043.072165,5.859375,14.6484375,-270.5078125,-127.44140625,0.0
1676927043.0770986,-10.25390625,36.62109375,-258.7890625,-158.203125,0.0
1676927043.0820322,-43.9453125,30.2734375,-275.87890625,-189.94140625,0.0
1676927043.0869658,-65.4296875,38.57421875,-289.0625,-193.359375,0.0
1676927043.0918994,-105.95703125,74.70703125,-280.2734375,-205.56640625,0.0
1676927043.0968328,-142.578125,86.9140625,-293.9453125,-256.34765625,0.0
1676927043.1017663,-133.30078125,96.6796875,-302.24609375,-282.2265625,0.0
1676927043.1067,-145.5078125,106.4453125,-283.69140625,-278.80859375,0.0
1676927043.1104379,-157.2265625,105.95703125,-275.87890625,-282.71484375,0.0
1676927043.1141758,-202.63671875,103.02734375,-265.13671875,-302.734375,0.0
1676927043.1179137,-250.48828125,96.19140625,-252.44140625,-320.80078125,0.0
1676927043.121652,-215.33203125,89.35546875,-238.76953125,-265.13671875,0.0
1676927043.1253898,-186.03515625,73.2421875,-207.51953125,-213.8671875,0.0
1676927043.1291277,-215.33203125,64.453125,-188.4765625,-262.6953125,0.0
1676927043.1328657,-207.51953125,63.96484375,-183.10546875,-314.453125,0.0
1676927043.1366036,-187.5,42.48046875,-172.8515625,-311.5234375,0.0
1676927043.1403418,-176.7578125,29.78515625,-148.92578125,-227.5390625,0.0
1676927043.1440797,-171.38671875,21.97265625,-142.578125,-200.68359375,0.0
1676927043.1478176,-163.0859375,2.9296875,-146.97265625,-239.74609375,0.0
1676927043.1515555,-122.0703125,-8.30078125,-132.32421875,-212.890625,0.0
1676927043.155281,-129.8828125,-30.2734375,-134.27734375,-188.96484375,0.0
1676927043.1590066,-122.55859375,-56.15234375,-126.953125,-168.45703125,0.0
1676927043.162732,-91.796875,-69.82421875,-113.76953125,-182.6171875,0.0
1676927043.1664574,-60.05859375,-77.1484375,-99.12109375,-162.59765625,0.0
1676927043.170183,-4.8828125,-88.8671875,-82.03125,-104.00390625,0.0
1676927043.1739082,2.44140625,-106.93359375,-69.82421875,-59.5703125,0.0
1676927043.1776338,-7.32421875,-128.41796875,-57.6171875,-54.6875,0.0
1676927043.1813593,18.5546875,-140.625,-40.52734375,-55.17578125,0.0
1676927043.1850848,42.96875,-141.11328125,-34.66796875,-34.66796875,0.0
1676927043.1888103,62.98828125,-150.87890625,-37.109375,0.0,0.0
1676927043.1925356,95.21484375,-153.80859375,-38.57421875,36.62109375,0.0
1676927043.1962612,120.1171875,-149.90234375,-32.2265625,32.71484375,0.0
