timestamps,TP9,Fp1,Fp2,TP10,stim
1676922047.5547535,-291.9921875,-727.05078125,-562.98828125,-340.8203125,0.0
1676922047.5584984,-313.96484375,-879.39453125,-775.390625,-258.30078125,0.0
1676922047.5622435,-337.890625,-260.7421875,-184.5703125,-250.48828125,0.0
1676922047.5659883,-297.36328125,-70.3125,61.5234375,-250.48828125,0.0
1676922047.5697386,-232.91015625,-263.18359375,-99.609375,-272.4609375,0.0
1676922047.5734892,-213.37890625,-148.92578125,-6.8359375,-211.9140625,0.0
1676922047.5772395,-242.1875,7.8125,126.953125,-155.2734375,0.0
1676922047.5809898,-207.03125,-104.4921875,38.57421875,-193.84765625,0.0
1676922047.5847402,-141.6015625,-276.85546875,-80.56640625,-192.87109375,0.0
1676922047.5884905,-157.2265625,-375.0,-154.296875,-137.6953125,0.0
1676922047.592241,-187.98828125,-447.265625,-217.7734375,-103.02734375,0.0
1676922047.5959914,-161.1328125,-458.984375,-213.37890625,-104.98046875,0.0
1676922047.5997417,-118.65234375,-712.890625,-445.3125,-136.23046875,0.0
1676922047.6034923,-101.5625,-432.12890625,-241.2109375,-134.27734375,0.0
1676922047.6072426,-123.53515625,-156.25,2.9296875,-55.17578125,0.0
1676922047.610993,-151.3671875,-473.6328125,-245.60546875,-32.2265625,0.0
1676922047.6147375,-111.81640625,-481.93359375,-267.08984375,-91.30859375,0.0
1676922047.6184819,-90.33203125,0.9765625,100.5859375,-91.30859375,0.0
1676922047.6222265,-113.76953125,113.76953125,212.890625,-42.96875,0.0
1676922047.6259708,-121.09375,-134.765625,20.01953125,-37.109375,0.0
1676922047.6297154,-119.62890625,-161.1328125,-6.34765625,-62.98828125,0.0
1676922047.63346,-108.3984375,-266.11328125,-94.23828125,-96.19140625,0.0
1676922047.6372044,-119.62890625,-215.33203125,-55.17578125,-53.7109375,0.0
1676922047.640949,-158.203125,-487.3046875,-281.73828125,1.953125,0.0
1676922047.6446934,-153.80859375,-761.71875,-555.6640625,-50.29296875,0.0
1676922047.648438,-110.83984375,-114.74609375,-60.05859375,-117.67578125,0.0
1676922047.6521823,-102.05078125,-39.0625,-1.46484375,-72.265625,0.0
1676922047.655927,-155.76171875,-274.90234375,-202.63671875,-24.90234375,0.0
1676922047.6597903,-161.1328125,-264.6484375,-220.21484375,-39.55078125,0.0
1676922047.6636536,-118.65234375,-281.25,-245.60546875,-89.35546875,0.0
1676922047.667517,-136.71875,-296.875,-272.94921875,-83.49609375,0.0
1676922047.6713803,-161.1328125,-473.14453125,-448.73046875,-48.33984375,0.0
1676922047.6752436,-153.80859375,-390.13671875,-415.52734375,-15.625,0.0
1676922047.6791067,-130.859375,-425.29296875,-462.40234375,-71.77734375,0.0
1676922047.68297,-115.234375,-615.72265625,-617.67578125,-115.72265625,0.0
