timestamps,TP9,Fp1,Fp2,TP10,stim
1676922861.2466984,-29.296875,-42.48046875,-48.33984375,-8.30078125,0.0
1676922861.2504444,-30.76171875,-47.36328125,-51.26953125,12.6953125,0.0
1676922861.2541904,-30.2734375,-49.8046875,-50.78125,-37.59765625,0.0
1676922861.2579365,-23.4375,-48.828125,-51.26953125,-27.83203125,0.0
1676922861.2617824,-39.55078125,-48.828125,-48.828125,-2.9296875,0.0
1676922861.2656283,-48.33984375,-40.0390625,-48.828125,-25.390625,0.0
1676922861.269474,-29.78515625,-39.55078125,-52.734375,-16.6015625,0.0
1676922861.27332,-10.7421875,-40.0390625,-49.31640625,-23.92578125,0.0
1676922861.277166,-20.01953125,-38.0859375,-52.24609375,-46.875,0.0
1676922861.2810118,-43.9453125,-46.38671875,-59.5703125,-20.01953125,0.0
1676922861.2848577,2.44140625,-48.33984375,-59.5703125,7.32421875,0.0
1676922861.2887037,-3.41796875,-46.38671875,-49.8046875,1.46484375,0.0
1676922861.2925496,-50.78125,-48.33984375,-46.875,-37.59765625,0.0
1676922861.2963953,-53.22265625,-50.29296875,-57.6171875,-66.40625,0.0
1676922861.3002412,-50.78125,-47.8515625,-59.08203125,-43.45703125,0.0
1676922861.3040872,-20.99609375,-41.9921875,-49.8046875,-46.38671875,0.0
1676922861.307744,-16.6015625,-45.41015625,-50.78125,-35.64453125,0.0
1676922861.3114011,-32.2265625,-48.828125,-61.5234375,-12.6953125,0.0
1676922861.315058,-26.3671875,-51.7578125,-61.03515625,-13.18359375,0.0
1676922861.3187149,-7.8125,-52.734375,-54.19921875,-11.71875,0.0
1676922861.322372,-11.23046875,-46.875,-55.17578125,-20.99609375,0.0
1676922861.3260288,-4.8828125,-42.48046875,-63.96484375,-15.625,0.0
1676922861.3296857,-37.109375,-45.8984375,-59.08203125,-13.18359375,0.0
1676922861.3333428,-49.31640625,-51.7578125,-38.0859375,-25.87890625,0.0
1676922861.3369997,-19.04296875,-48.828125,-37.109375,-5.37109375,0.0
1676922861.3406565,-40.0390625,-51.7578125,-41.9921875,13.18359375,0.0
1676922861.3443136,-37.59765625,-54.6875,-46.875,-19.53125,0.0
1676922861.3479705,-38.0859375,-53.22265625,-47.36328125,-62.98828125,0.0
1676922861.3529694,-50.29296875,-54.19921875,-38.57421875,-41.015625,0.0
1676922861.3579686,-40.0390625,-51.7578125,-44.43359375,-39.0625,0.0
1676922861.3629675,-60.05859375,-52.24609375,-48.828125,-56.15234375,0.0
1676922861.3679664,-41.50390625,-51.7578125,-50.29296875,-51.7578125,0.0
1676922861.3729656,-29.78515625,-52.24609375,-51.26953125,-49.8046875,0.0
1676922861.3779645,-43.9453125,-53.22265625,-49.8046875,-30.76171875,0.0
1676922861.3829634,-46.38671875,-55.17578125,-54.6875,-9.27734375,0.0
1676922861.3879626,-40.52734375,-53.7109375,-59.08203125,-30.76171875,0.0
1676922861.3929615,-36.62109375,-50.78125,-57.12890625,-16.6015625,0.0
1676922861.3979604,-37.59765625,-51.7578125,-59.5703125,-1.46484375,0.0
1676922861.4029596,-56.640625,-54.6875,-55.6640625,-61.03515625,0.0
1676922861.4079585,-68.84765625,-56.15234375,-52.24609375,-62.98828125,0.0
1676922861.4129329,-23.4375,-52.734375,-51.7578125,-39.55078125,0.0
1676922861.4179072,11.71875,-53.7109375,-45.41015625,-5.37109375,0.0
1676922861.4228816,-37.59765625,-49.8046875,-46.38671875,3.41796875,0.0
1676922861.427856,-70.80078125,-47.8515625,-49.8046875,-42.48046875,0.0
1676922861.4328303,-62.5,-45.41015625,-50.29296875,-56.640625,0.0
1676922861.4378047,-39.0625,-41.50390625,-56.640625,-53.22265625,0.0
1676922861.442779,-4.8828125,-38.0859375,-53.7109375,-41.015625,0.0
1676922861.4477534,-38.0859375,-41.015625,-52.24609375,-38.0859375,0.0
1676922861.4527278,-68.359375,-52.24609375,-62.5,-27.34375,0.0
1676922861.4577022,-12.20703125,-46.38671875,-57.12890625,-22.94921875,0.0
1676922861.4626765,-23.4375,-44.43359375,-46.38671875,-22.94921875,0.0
1676922861.467651,-51.26953125,-52.24609375,-53.22265625,-10.7421875,0.0
1676922861.4701781,-38.57421875,-54.6875,-56.15234375,-41.015625,0.0
1676922861.4727054,-36.62109375,-57.12890625,-51.26953125,-60.546875,0.0
1676922861.4752328,-34.1796875,-56.640625,-51.7578125,-31.73828125,0.0
1676922861.47776,-44.43359375,-52.734375,-57.12890625,-16.11328125,0.0
1676922861.4802873,-59.08203125,-52.24609375,-61.5234375,-15.625,0.0
1676922861.4828148,-38.0859375,-55.17578125,-60.546875,-19.53125,0.0
1676922861.485342,-25.390625,-54.19921875,-56.640625,-19.04296875,0.0
1676922861.4878693,-39.0625,-52.24609375,-60.05859375,-12.6953125,0.0
1676922861.4903965,-60.546875,-59.5703125,-60.546875,-32.71484375,0.0
1676922861.4929237,-37.109375,-59.5703125,-57.6171875,-51.7578125,0.0
1676922861.4954512,-20.99609375,-53.22265625,-59.08203125,-49.8046875,0.0
1676922861.4979784,-47.36328125,-55.17578125,-57.12890625,-28.80859375,0.0
1676922861.501719,-59.5703125,-54.6875,-62.5,13.671875,0.0
1676922861.5054595,-49.31640625,-46.38671875,-59.08203125,-12.6953125,0.0
1676922861.5092,-15.13671875,-45.8984375,-56.15234375,-62.98828125,0.0
1676922861.512941,16.11328125,-48.828125,-60.546875,-67.3828125,0.0
1676922861.5166814,13.18359375,-44.921875,-57.12890625,-3.41796875,0.0
1676922861.520422,-28.80859375,-48.33984375,-56.15234375,1.46484375,0.0
1676922861.5241625,-16.11328125,-55.6640625,-62.98828125,-65.4296875,0.0
1676922861.527903,6.8359375,-57.12890625,-63.96484375,-39.0625,0.0
1676922861.5316439,-16.11328125,-54.6875,-60.546875,-34.66796875,0.0
1676922861.5353844,-36.1328125,-49.31640625,-58.59375,-39.55078125,0.0
1676922861.539125,-56.640625,-47.36328125,-59.08203125,-10.7421875,0.0
1676922861.5428655,-20.01953125,-42.48046875,-63.4765625,-5.37109375,0.0
1676922861.5466251,-4.39453125,-45.41015625,-56.15234375,-31.25,0.0
1676922861.5503848,-23.92578125,-50.29296875,-54.6875,-40.0390625,0.0
1676922861.5541444,-15.625,-50.78125,-62.01171875,-19.53125,0.0
1676922861.557904,-51.26953125,-54.6875,-51.26953125,-7.32421875,0.0
1676922861.5616636,-54.6875,-55.17578125,-49.31640625,-58.10546875,0.0
1676922861.5654235,-59.08203125,-53.7109375,-62.5,-65.4296875,0.0
1676922861.569183,-63.4765625,-58.59375,-61.5234375,-40.0390625,0.0
1676922861.5729427,-28.3203125,-62.98828125,-57.6171875,-51.26953125,0.0
1676922861.5767024,-25.390625,-61.5234375,-56.15234375,-46.875,0.0
1676922861.580462,-41.9921875,-54.6875,-52.24609375,-25.390625,0.0
1676922861.5842216,-33.203125,-54.6875,-54.6875,-13.671875,0.0
1676922861.5879812,-6.34765625,-52.24609375,-52.734375,-40.0390625,0.0
1676922861.591731,-18.06640625,-51.7578125,-48.828125,-42.96875,0.0
1676922861.5954812,-44.43359375,-54.19921875,-49.31640625,-44.921875,0.0
1676922861.599231,-53.22265625,-53.22265625,-52.734375,-37.59765625,0.0
1676922861.6029809,-26.85546875,-58.59375,-51.26953125,-24.90234375,0.0
