timestamps,TP9,Fp1,Fp2,TP10,stim
1676922418.461368,-0.48828125,142.08984375,-0.48828125,-127.44140625,0.0
1676922418.4650133,2.44140625,106.93359375,-11.71875,-123.046875,0.0
1676922418.4686587,-13.18359375,18.5546875,-26.85546875,-119.140625,0.0
1676922418.472304,-15.13671875,63.4765625,-14.16015625,-98.6328125,0.0
1676922418.4760463,-0.9765625,83.49609375,-3.90625,-67.87109375,0.0
1676922418.4797885,2.44140625,52.24609375,4.8828125,-43.9453125,0.0
1676922418.4835308,0.48828125,31.25,-13.18359375,-38.0859375,0.0
1676922418.487273,-11.23046875,68.84765625,-28.3203125,-41.9921875,0.0
1676922418.4910152,-19.04296875,51.7578125,-23.92578125,-34.1796875,0.0
1676922418.4947574,-13.671875,-3.41796875,-21.97265625,-25.87890625,0.0
1676922418.4984996,-15.13671875,-31.25,-31.73828125,-25.390625,0.0
1676922418.5022418,-10.7421875,58.59375,-22.94921875,-14.16015625,0.0
1676922418.505984,-12.20703125,127.9296875,-22.4609375,-11.71875,0.0
1676922418.5097263,-22.94921875,14.16015625,-37.59765625,-11.23046875,0.0
1676922418.5134685,-24.90234375,-62.98828125,-35.64453125,-6.34765625,0.0
1676922418.5172107,-36.62109375,62.5,-25.390625,-26.3671875,0.0
1676922418.520989,-32.2265625,88.8671875,-22.94921875,-23.4375,0.0
1676922418.524767,-18.5546875,-9.765625,-19.53125,-10.7421875,0.0
1676922418.5285451,-17.08984375,-11.23046875,-18.06640625,-15.625,0.0
1676922418.5323231,-21.484375,57.6171875,-20.99609375,-22.4609375,0.0
1676922418.5361013,-25.87890625,52.24609375,-27.34375,-13.671875,0.0
1676922418.5398793,-10.25390625,-101.07421875,-54.19921875,11.23046875,0.0
1676922418.5436575,-10.7421875,-84.47265625,-58.59375,2.9296875,0.0
1676922418.5474358,-15.13671875,82.51953125,-33.69140625,-14.6484375,0.0
1676922418.5512137,8.7890625,32.2265625,-31.73828125,12.6953125,0.0
1676922418.554992,16.11328125,-51.7578125,-35.15625,24.90234375,0.0
1676922418.55877,5.859375,14.6484375,-24.4140625,8.7890625,0.0
1676922418.5625482,3.90625,102.05078125,-18.5546875,-4.39453125,0.0
1676922418.5675306,4.39453125,36.1328125,-35.64453125,-0.48828125,0.0
1676922418.572513,0.0,-31.25,-44.921875,8.7890625,0.0
1676922418.5774953,0.48828125,36.62109375,-25.87890625,0.9765625,0.0
1676922418.5824778,4.39453125,93.75,-11.23046875,-1.953125,0.0
1676922418.5874603,2.9296875,25.390625,-38.0859375,-7.8125,0.0
1676922418.5924425,4.39453125,-46.875,-52.24609375,-3.41796875,0.0
1676922418.597425,3.90625,26.85546875,-27.83203125,-1.46484375,0.0
1676922418.6024075,-3.90625,95.703125,-16.6015625,-16.11328125,0.0
1676922418.60739,-22.4609375,4.39453125,-39.55078125,-20.99609375,0.0
1676922418.6123724,-29.296875,-39.0625,-55.17578125,-13.18359375,0.0
1676922418.6173546,-28.3203125,52.24609375,-52.734375,-21.484375,0.0
1676922418.622337,-26.3671875,35.15625,-42.48046875,-21.484375,0.0
1676922418.626087,-26.3671875,-35.64453125,-36.1328125,-1.953125,0.0
1676922418.6298368,-29.296875,-13.18359375,-29.296875,5.37109375,0.0
1676922418.6335866,-24.4140625,82.51953125,-15.13671875,-11.71875,0.0
1676922418.6373365,-15.625,53.22265625,-23.4375,-26.3671875,0.0
1676922418.6410863,-14.16015625,-34.66796875,-40.0390625,-33.69140625,0.0
1676922418.6448364,-16.6015625,-47.8515625,-43.9453125,-41.015625,0.0
