ts,interval_sec,TP9_alpha,AF7_alpha,AF8_alpha,TP10_alpha,TP9_beta,AF7_beta,AF8_beta,TP10_beta,alpha_mean,beta_mean,ratio,state
10:30:34,0.2,1341794.5289939546,0.0,1254.5663542245632,490484.4431021157,338308.80238703015,0.0,668.6565057126019,172904.03236732402,458383.3846125737,127970.37281501669,0.2791775991688212,RELAX
10:30:34,0.2,723842.7600904044,0.0,13780.616873043156,1981506.8467920593,699676.8016958256,0.0,6678.728142322096,164321.50052951794,679782.5559388767,217669.25759191642,0.320204241327264,RELAX
10:30:35,0.2,2171902.6081386716,0.0,8223.663583545549,3305064.8499468043,250833.3779404729,0.0,2300.23612453739,1059805.9344388277,1371297.7804172554,328234.8871259595,0.23936076599357212,RELAX
10:30:35,0.2,791797.9614836597,0.0,1840.088648923522,3696362.950801915,205321.40587790907,0.0,1931.813419577592,193805.79636695,1122500.2502336246,100264.75391610916,0.08932270072567126,RELAX
10:30:35,0.2,1502282.9000541703,0.0,1122.0173745565876,1590739.4368884417,1066938.55519378,0.0,2428.957870644143,299642.1845754853,773536.0885792922,342252.42440997734,0.44245178662390794,RELAX
10:30:35,0.2,1895284.5902161968,463.84970643681265,38030.25463044836,5678691.868164764,588510.2410844419,143.38929971948141,7610.722980050909,426932.24920532806,1903117.6406794614,255799.1506423851,0.13441058249612897,RELAX
10:30:36,0.2,149017.07571311554,0.01640891274238972,2727.791838663557,751719.5779676323,100470.38574377792,0.014092587085507641,2130.373157159411,237338.0296085129,225866.11548208105,84984.70065050933,0.37626139923255353,RELAX
10:30:36,0.2,133566.49964336262,17545.71356715846,7665.933902242039,112887.13586460876,107655.63735879232,7390.415254868441,5751.489254159432,86340.28906430253,67916.32074434297,51784.45773303068,0.7624744268459804,BALANCED
10:30:36,0.2,1187102.287096805,9485.244978226609,26808.57577021434,1006451.7746316855,448760.22467098245,10354.403208724032,7253.871783963154,285924.0344054492,557461.9706192329,188073.1335172797,0.3373739258094443,RELAX
10:30:36,0.2,1207795.3936040844,3646.2387388214524,7173.353682821846,936431.7588687235,692136.4205632141,1549.5832216525496,6329.852081447615,434631.8873779963,538761.6862236127,283661.93581107765,0.5265072536975911,RELAX
10:30:36,0.2,1621040.4178623005,49.80772602407273,8883.67544677588,3481459.271120166,257372.776809916,38.60495358404573,4964.035780558105,749087.6119874436,1277858.2930388167,252865.75738287545,0.1978824716014065,RELAX
10:30:37,0.2,311331.65677351924,0.33061218901915834,9664.064112578872,754526.4158358495,1306499.3776415337,0.2836925272212361,6930.076325609177,314505.81580195203,268880.61683353415,406983.88836540555,1.513623009193601,FOCUS
10:30:37,0.2,1695356.3498316382,34.025778331632964,6401.9891283672405,1128852.8575722896,74015.0268003248,152.52482697500702,1909.9933351997631,357604.5994599478,707661.3055776567,108420.53610561184,0.15320964315988603,RELAX
10:30:37,0.2,1620795.924679294,78529.71347519252,9086.530242834253,1864623.9966551934,673325.3281916168,12153.881915349835,5843.614349521635,426822.5547475393,893259.0412631285,279536.3448010069,0.3129398437498306,RELAX
10:30:37,0.2,815307.9074282221,20417.071004378362,19202.77635608941,2491222.5121302176,325450.8368706395,2634.8607718839744,4147.304066040412,379880.1394840618,836537.5667297269,178028.28529815644,0.21281564914546724,RELAX
10:30:37,0.2,90458.54085513513,5943.744881774397,3235.1224758787075,446212.9281131153,268162.8755645033,6733.125886074129,1382.0476252952521,153027.89274888835,136462.58408147588,107326.48545619026,0.7864902030003351,BALANCED
10:30:38,0.2,381507.13223894296,1948.2800281762484,5730.036399816785,748608.39501961,250656.34734414823,1342.1194375495345,771.4515997257736,165267.16334195025,284448.4609216365,104509.27043084345,0.3674102158690709,RELAX
10:30:38,0.2,3447767.6004392095,6847.22536831304,1009.1029472141022,732266.0823469562,303467.11749048537,26386.949706924177,1035.2707535675179,163593.34322761296,1046972.5027754232,123620.67029464751,0.1180744193060859,RELAX
10:30:38,0.2,2545108.146580595,5205.957593888825,3691.6620132165244,2110459.771368721,202324.09097213403,14227.886741929671,1085.9171809915044,236465.4247957885,1166116.3843891053,113525.82992271092,0.09735377312461298,RELAX
10:30:38,0.2,1513357.228970378,99838.31719512344,4268.939278340334,1858744.0888556908,298428.5421318675,13874.213059166577,2252.870471458817,401810.5858992361,869052.1435748832,179091.55289043224,0.20607687837202893,RELAX
10:30:38,0.2,2641871.8319087853,95724.35985780384,15469.52554109218,2744957.845959191,262630.56595709414,18402.443876734676,2002.6108778622647,273882.5313738621,1374505.890816718,139229.5380213883,0.10129424613717694,RELAX
10:30:39,0.2,5922294.797640994,103506.85601869725,5903.1693846839225,1550669.7522473503,414768.32175464527,20487.975057376952,428.8350751648852,360258.4079862653,1895593.6438229312,198985.8849683631,0.10497285935558376,RELAX
10:30:39,0.2,1794620.4718652589,8447.225074779484,10191.842130790597,2620097.5170109756,434195.1635816942,16805.340628038466,6683.557930599504,283500.3525916424,1108339.264020451,185296.10368299362,0.1671835598522787,RELAX
10:30:39,0.2,3707706.06587895,114602.67641741813,9869.429465399116,889284.8255835527,415884.2703531617,42045.98061491799,3975.7567795756368,1146152.9186637017,1180365.74933633,402014.73160283925,0.3405848838200153,RELAX
10:30:39,0.2,0.25312495721785494,26365.31622978881,4014.8359213206263,4358298.025171143,0.21720209115377098,19335.31677008418,1552.0955407174768,551836.2459521182,1097169.6076118024,143180.96886625275,0.13050030539755222,RELAX
10:30:39,0.2,2593930.4654634614,354028.2044413568,25827.772867644344,802733.2592271554,232140.6693212207,44475.15601162374,2974.1280644770723,412105.36695648654,944129.9254999044,172923.830088452,0.18315681498697448,RELAX
10:30:40,0.2,620595.4314690006,51214.82835580785,6568.425415667768,1879617.593792953,225895.12637916478,22536.62206798115,1114.6648285147467,89177.6058410328,639499.0697583574,84681.00477917337,0.13241771377583259,RELAX
10:30:40,0.2,782588.6933137478,3544.866055961906,490.12135682741683,460820.8607779074,309724.41593590577,30351.96293385363,1522.4412879929016,158491.13663572993,311861.13537611114,125022.48919837056,0.4008915347774604,RELAX
10:30:40,0.2,230418.96459512072,54425.70242381702,4168.4421514402775,887015.9168046964,320123.2764151757,10173.143280656781,1136.6293867038316,307643.4388588914,294007.2564937686,159769.1219853569,0.5434189750644579,RELAX
10:30:40,0.2,1250712.20302138,536089.4657950148,79747.93700514622,1203104.5774999824,375251.6797462268,276372.38924446335,45578.040958556805,986524.9524042805,767413.5458303809,420931.7655883819,0.5485070831436942,RELAX
10:30:41,0.2,906603.6265371584,544756.5043611374,50633.65936843972,2693711.3120262073,349442.1870760349,174346.84598853602,7092.189411638261,294252.7266895505,1048926.2755732357,206283.4872914399,0.19666156916386376,RELAX
10:30:41,0.2,1189972.7105803527,1398110.699988984,2529757.8712417884,2078492.1383494975,377121.9248208567,361368.6225447007,2213549.921906737,408216.58458624844,1799083.3550401558,840064.2634646357,0.46694015655871896,RELAX
10:30:41,0.2,8001637.517476517,3317623.513736089,15.726861149948691,894042.2525914846,890115.4467373515,384522.7359071648,15.390583791881326,1158456.2595980174,3053329.75266631,608277.4582065814,0.19921774177040824,RELAX
10:30:41,0.2,729483.3363087586,2427749.809109863,974681.7215646286,981390.0478571323,327570.32512012246,492867.8683190938,377604.2212944634,363747.64582463936,1278326.2287100956,390447.5151395797,0.3054365203267116,RELAX
10:30:41,0.2,0.012996296509135807,992412.0852569547,0.0,0.002937479841132381,0.009767521333179771,401720.3127155958,0.0,0.004124248095513446,248103.02529768276,100430.08165184132,0.404791846174958,RELAX
10:30:42,0.2,0.17099014752630168,4014770.9720362355,10443000.587987686,1846826.99314133,0.029067569311892832,857343.0137547684,1417430.0562151268,283826.7702603909,4076149.68103885,639649.9673244639,0.1569250438225915,RELAX
10:30:42,0.2,0.009139555062603283,1468777.105401642,876188.536425728,1141004.1761567218,0.02490730056695722,469354.88430231693,359680.93399686547,367046.80988420866,871492.4567809117,299020.6632726729,0.3431133120499803,RELAX
10:30:42,0.2,105630.86984432035,1308172.5176726233,0.005783278925165493,1655272.264706935,86449.09897260083,455742.4946739291,0.018245953538363488,1079666.6896473088,767268.9145017895,405464.57538494805,0.5284517171508614,RELAX
10:30:42,0.2,1524167.8666806533,0.0,1348589.2875913393,3758204.5156945516,1283568.8998438183,0.0,522801.4428343488,752253.2336400308,1657740.4174916362,639655.8940795495,0.38586010652224245,RELAX
10:30:42,0.2,0.012855026466855896,0.0,1131576.3241261148,1158791.1793501247,0.01209202965786073,0.0,190617.02189825245,255833.77164063128,572591.8790828164,111612.70140772834,0.19492540059511623,RELAX
10:30:43,0.2,1863477.2700476786,4019425.5907908496,837550.22175097,1375198.035564764,963654.7651477,1066316.0776013962,439758.46117887617,333653.71165017504,2023912.7795385658,700845.7538945369,0.34628258736244727,RELAX
10:30:43,0.2,341157.8523965503,6517436.260757899,3962232.1825305405,0.0,1026458.1034436328,629048.9624976994,712270.07626731,0.0,2705206.5739212474,591944.2855521606,0.21881666681525408,RELAX
10:30:43,0.2,3744216.251596666,98846.58288345007,218601.68998121537,2393370.727094788,814371.0376346357,72355.48018607641,1334318.2239610332,640759.0345752483,1613758.8128890297,715450.9440892483,0.4433444070916726,RELAX
10:30:43,0.2,982063.2877494236,701689.6878770079,907703.0055096865,772974.1102825054,277969.54525578226,265591.0131893446,224808.07315403083,1837231.0748380132,841107.5228546559,651399.9266092927,0.7744549999963027,BALANCED
10:30:43,0.2,0.00866425009835907,12.137445555125588,0.05872299962445439,717619.1014051626,0.03943601329181707,11.184522682194524,0.07434437389085435,301323.9088155398,179407.82655949186,75333.80177965229,0.41990253839160974,RELAX
10:30:44,0.2,2541834.395264762,199215.76903538173,0.02866645302846944,2436976.345275006,220538.76477344587,156941.4697417502,0.008069888885607874,825100.6302636178,1294506.6345604006,300645.2182121757,0.23224695044863275,RELAX
10:30:44,0.2,800935.7583842804,605097.7978132758,1203006.3763494329,1000661.5210279227,299294.3475093155,114468.726162219,167445.12406844765,389285.3427869135,902425.3633937279,242623.38513172392,0.2688570102011499,RELAX
10:30:44,0.2,7015962.142557612,3978586.414482465,2772919.756332235,0.053123283614129484,366328.63663268794,1197276.9442893222,655212.4944677261,0.05135093318101016,3441867.091623899,554704.5316851673,0.1611638441923257,RELAX
10:30:44,0.2,1857582.4446413023,1452383.4956229846,4379716.505288762,793625.2481144455,282344.9186973107,397914.55061231606,1084078.274037311,350914.55459695606,2120826.923416874,528813.0744859735,0.24934287123911097,RELAX
10:30:45,0.2,3078209.8342685653,499507.6954392318,1049031.3887324114,2748771.2207564856,816960.2516853794,258011.14961590784,267507.88240935234,328379.9268569731,1843880.0347991735,417714.80264190317,0.22654120374344128,RELAX
10:30:45,0.2,4395939.24041717,4426226.543906762,7501049.764678526,12228045.053884635,981137.6916327922,973937.0445041432,886333.4382736562,386499.5916825619,7137815.1507217735,806976.9415232884,0.11305657606469217,RELAX
10:30:45,0.2,76720.91444995334,39.775634788598744,0.05761556756468618,0.009204098075631556,697960.8442370198,29.20737736726222,0.03879388828670646,0.0206160271563972,19190.1892261019,174497.52775607564,9.093059255441291,FOCUS
10:30:45,0.2,1850530.4754214394,171286.19097162626,0.011287790472128816,0.040976442520838464,829474.7453605068,277093.97598483326,0.06149287807841749,0.09442405971964922,505454.1796643247,276642.21931556944,0.5473141393336372,RELAX
10:30:45,0.2,300339.533815489,212473.8450893531,2293904.240040875,1620687.4916280126,228233.02961982405,97370.69178039925,445269.6609761576,334806.8742546217,1106851.2776434324,276420.0641577507,0.24973550624278024,RELAX
10:30:46,0.2,1120890.9284094798,8855926.632630965,2166975.186129785,954489.7047207343,174616.8774331395,1070499.265660785,435883.9123463095,248794.40606697302,3274570.6129727405,482448.61537680175,0.14733187107509718,RELAX
10:30:46,0.2,0.017990281600931777,0.03599937453796975,0.008723412467978557,1315743.785390257,0.010171090672389015,0.06325257024858566,0.009767533287088884,312866.5175323409,328935.9620258314,78216.65018088378,0.23778686191429993,RELAX
10:30:46,0.2,719475.0730941077,0.6448534362092551,0.010274413470842382,855167.994530924,227475.63129766085,0.2311115863146395,0.015450438323377341,301224.25962175627,393660.9306882203,132175.03437036043,0.3357585781735682,RELAX
10:30:46,0.2,2395692.4427001774,959550.583316028,1665850.0668389765,2002701.6081524126,337876.1164219352,314867.2952632488,333783.10407860205,950968.5814389588,1755948.6752518986,484373.7743006862,0.2758473417403277,RELAX
10:30:46,0.2,1060751.9672547686,337001.0153729461,1176486.0245363424,1498118.3009377192,171910.77512708685,295407.05712398386,681531.04568083,436877.3483797524,1018089.3270254441,396431.5565779133,0.38938779344261376,RELAX
10:30:47,0.2,1296741.536168504,4732970.324904786,3759674.0027480107,815912.2497008105,359277.8781533178,1956779.6854181576,1166206.5017062102,375498.58173454955,2651324.528380528,964440.6617530588,0.36375805806849104,RELAX
10:30:47,0.2,752705.9441131456,1097724.4810969268,2036939.6993390892,79018.41208194138,293970.66990680026,163925.75170093283,386557.83936269215,51164.7107626764,991597.1341577758,223904.74293327544,0.22580212792108506,RELAX
10:30:47,0.2,682218.8420925179,6081.612895594512,28665.204350961663,703978.5400089519,545497.6886392478,2130.5500535827778,4992.601472537346,2016255.378195176,355236.0498370065,642219.0545901359,1.807865656891541,FOCUS
10:30:47,0.2,0.09047179068415598,21193.88633264871,181679.21577045624,1279657.666580761,0.05875847411941493,10210.258777254645,54801.03680514715,550229.8879913081,370632.7147889142,153810.310583046,0.4149938859839864,RELAX
10:30:48,0.2,0.039359467087306074,10966.654669229782,7500.979719027631,653167.3300222255,0.015389084585399448,486.29357567033804,1751.4827574761955,236035.76357173678,167908.7509424875,59568.38882349197,0.3547664340847576,RELAX
10:30:48,0.2,0.03699770265113924,6235.8726851314195,3193.4866193631397,143121.22816618293,0.04065548998753237,2749.411228814995,679.6620549868472,130837.34874793272,38137.65611709504,33566.61567180614,0.8801436451350257,BALANCED
10:30:48,0.2,147234.953897037,19439.068956262847,25984.342192938922,257662.46604506415,2496.16312608143,1615.6468135161792,3643.071389548128,62456.81089601741,112580.20777282573,17552.923056290787,0.1559148220059304,RELAX
10:30:48,0.2,4771.914443860762,4634.826666511149,2451.3156782526835,138925.8229928754,6766.095012787755,747.0265462947809,2594.767537805872,30071.761532421937,37695.96994537499,10044.912657327586,0.26647179186219666,RELAX
10:30:48,0.2,1966.6018433410197,1244.9247112246214,8091.774681696667,74765.63081909083,136.60904151422994,81.45090366777835,388.4535872523874,28557.760915111165,21517.233013838286,7291.0686118863905,0.33884787171274844,RELAX
10:30:49,0.2,38459.65182092726,2086.336904583333,87.00842356010945,0.01572768130439151,6804.489268688344,904.0495876286459,1309.6402999183704,0.0172425625473599,10158.253219188002,2254.549099699477,0.22194259692609772,RELAX
