_prepare,_run,auto_log,background,bidi,canvas_backend,cols,column_order,compensation,complexity,complexity_question,condition,coordinates,count_blank,count_block_loop,count_experiment,count_form_goodbye,count_form_instructions,count_form_rating,count_form_text_display,count_init,count_inline_script,count_logger,count_repeat_cycle,count_sequence,cycles,description,duration,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,frequency,frequency_question,height,ignore_missing,item,keyboard_backend,mouse_backend,ok_text,order,repeat,repeat_cycle,rows,sampler_backend,similarity,similarity_question,start,stim,subject_nr,subject_parity,synth_backend,time_blank,time_block_loop,time_experiment,time_form_goodbye,time_form_instructions,time_form_rating,time_form_text_display,time_init,time_inline_script,time_logger,time_repeat_cycle,time_sequence,title,transparent_variables,use_quotes,width
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","4","NA","NA","relative","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","P1.png","12","even","legacy","78040","NA","NA","NA","2862","78135","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","1","0","0","0","0","1","1","0","1","1","1","1","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","G4.png","12","even","legacy","94490","NA","NA","NA","2862","94585","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","2","0","0","0","0","2","2","0","2","2","2","2","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","R.png","12","even","legacy","105476","NA","NA","NA","2862","105571","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","3","0","0","0","0","3","3","0","3","3","3","3","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","S8.png","12","even","legacy","115101","NA","NA","NA","2862","115196","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","4","0","0","0","0","4","4","0","4","4","4","4","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","P6.png","12","even","legacy","128200","NA","NA","NA","2862","128295","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","5","0","0","0","0","5","5","0","5","5","5","5","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","H.png","12","even","legacy","142549","NA","NA","NA","2862","142644","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","6","0","0","0","0","6","6","0","6","6","6","6","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","S.png","12","even","legacy","151436","NA","NA","NA","2862","151531","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","7","0","0","0","0","7","7","0","7","7","7","7","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","K.png","12","even","legacy","160317","NA","NA","NA","2862","160412","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","8","0","0","0","0","8","8","0","8","8","8","8","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","G7.png","12","even","legacy","178861","NA","NA","NA","2862","178956","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","9","0","0","0","0","9","9","0","9","9","9","9","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D8.png","12","even","legacy","189548","NA","NA","NA","2862","189643","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","10","0","0","0","0","10","10","0","10","10","10","10","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D6.png","12","even","legacy","206212","NA","NA","NA","2862","206307","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","11","0","0","0","0","11","11","0","11","11","11","11","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","S5.png","12","even","legacy","223140","NA","NA","NA","2862","223235","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","12","0","0","0","0","12","12","0","12","12","12","12","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","1","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","S7.png","12","even","legacy","234261","NA","NA","NA","2862","234356","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","4","NA","NA","relative","13","0","0","0","0","13","13","0","13","13","13","13","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","P2.png","12","even","legacy","248213","NA","NA","NA","2862","248308","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","14","0","0","0","0","14","14","0","14","14","14","14","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","G6.png","12","even","legacy","256388","NA","NA","NA","2862","256483","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","15","0","0","0","0","15","15","0","15","15","15","15","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","D1.png","12","even","legacy","264221","NA","NA","NA","2862","264316","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","16","0","0","0","0","16","16","0","16","16","16","16","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D5.png","12","even","legacy","275436","NA","NA","NA","2862","275531","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","17","0","0","0","0","17","17","0","17","17","17","17","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","P4.png","12","even","legacy","286117","NA","NA","NA","2862","286212","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","18","0","0","0","0","18","18","0","18","18","18","18","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","G9.png","12","even","legacy","298973","NA","NA","NA","2862","299068","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","19","0","0","0","0","19","19","0","19","19","19","19","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","2","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","G8.png","12","even","legacy","305916","NA","NA","NA","2862","306012","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","20","0","0","0","0","20","20","0","20","20","20","20","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","S3.png","12","even","legacy","324333","NA","NA","NA","2862","324428","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","21","0","0","0","0","21","21","0","21","21","21","21","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","N.png","12","even","legacy","338197","NA","NA","NA","2862","338292","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","22","0","0","0","0","22","22","0","22","22","22","22","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","2","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","S4.png","12","even","legacy","349644","NA","NA","NA","2862","349739","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","23","0","0","0","0","23","23","0","23","23","23","23","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","G.png","12","even","legacy","364588","NA","NA","NA","2862","364683","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","24","0","0","0","0","24","24","0","24","24","24","24","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","D.png","12","even","legacy","375309","NA","NA","NA","2862","375404","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","25","0","0","0","0","25","25","0","25","25","25","25","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","G5.png","12","even","legacy","382212","NA","NA","NA","2862","382307","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","26","0","0","0","0","26","26","0","26","26","26","26","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","S1.png","12","even","legacy","396220","NA","NA","NA","2862","396315","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","27","0","0","0","0","27","27","0","27","27","27","27","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D7.png","12","even","legacy","405653","NA","NA","NA","2862","405748","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","28","0","0","0","0","28","28","0","28","28","28","28","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","P8.png","12","even","legacy","414249","NA","NA","NA","2862","414344","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","4","NA","NA","relative","29","0","0","0","0","29","29","0","29","29","29","29","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","P3.png","12","even","legacy","427245","NA","NA","NA","2862","427340","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","30","0","0","0","0","30","30","0","30","30","30","30","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","S9.png","12","even","legacy","437668","NA","NA","NA","2862","437763","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","31","0","0","0","0","31","31","0","31","31","31","31","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","G3.png","12","even","legacy","450868","NA","NA","NA","2862","450963","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","32","0","0","0","0","32","32","0","32","32","32","32","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","B.png","12","even","legacy","458925","NA","NA","NA","2862","459020","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","33","0","0","0","0","33","33","0","33","33","33","33","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","G1.png","12","even","legacy","470148","NA","NA","NA","2862","470243","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","34","0","0","0","0","34","34","0","34","34","34","34","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","P9.png","12","even","legacy","482604","NA","NA","NA","2862","482700","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","35","0","0","0","0","35","35","0","35","35","35","35","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","S2.png","12","even","legacy","492741","NA","NA","NA","2862","492836","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","36","0","0","0","0","36","36","0","36","36","36","36","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","1","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","P7.png","12","even","legacy","504900","NA","NA","NA","2862","504996","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","37","0","0","0","0","37","37","0","37","37","37","37","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D2.png","12","even","legacy","519428","NA","NA","NA","2862","519523","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","38","0","0","0","0","38","38","0","38","38","38","38","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","M.png","12","even","legacy","527893","NA","NA","NA","2862","527988","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","39","0","0","0","0","39","39","0","39","39","39","39","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","D9.png","12","even","legacy","537635","NA","NA","NA","2862","537730","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","4","NA","NA","relative","40","0","0","0","0","40","40","0","40","40","40","40","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","P5.png","12","even","legacy","547957","NA","NA","NA","2862","548052","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","41","0","0","0","0","41","41","0","41","41","41","41","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","G2.png","12","even","legacy","564589","NA","NA","NA","2862","564684","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","42","0","0","0","0","42","42","0","42","42","42","42","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","S6.png","12","even","legacy","570636","NA","NA","NA","2862","570731","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","43","0","0","0","0","43","43","0","43","43","43","43","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","D3.png","12","even","legacy","577924","NA","NA","NA","2862","578019","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","44","0","0","0","0","44","44","0","44","44","44","44","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D4.png","12","even","legacy","583077","NA","NA","NA","2862","583172","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
