trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,textbox.started,textbox2.started,scoreboard.started,key_resp.started,textbox_3.started,key_resp.keys,key_resp.rt,txt1.started,txt2.started,textbox_2.started,txt1.stopped,txt2.stopped,textbox_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,27.662906699813902,27.662906699813902,space,3.9068409998435527,,,,,,,,,,,,,,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
0,0,0,0,,,,,31.748751299921423,31.748751299921423,31.748751299921423,32.58243579999544,32.58243579999544,left,0.667705399915576,33.7829523999244,33.7829523999244,33.7829523999244,,,,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
1,0,1,0,,,,,36.86905739991926,36.86905739991926,36.81078449985944,37.771737299859524,37.771737299859524,right,0.7421144999098033,39.02098369994201,39.02098369994201,39.02098369994201,42.11276109982282,42.11276109982282,42.11276109982282,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
2,0,2,0,,,,,42.12412369996309,42.12412369996309,42.11276109982282,43.02436499996111,43.02436499996111,right,0.8663278999738395,44.391714999917895,44.391714999917895,44.391714999917895,47.394364499952644,47.394364499952644,47.394364499952644,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
3,0,3,0,,,,,47.49448489979841,47.49448489979841,47.394364499952644,48.3951611998491,48.3951611998491,left,0.855108399875462,49.77950579999015,49.77950579999015,49.77950579999015,,,,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
4,0,4,0,,,,,52.865779499989,52.865779499989,52.78214709996246,53.76593329990283,53.76593329990283,left,1.004317699931562,55.28400189988315,55.28400189988315,55.28400189988315,58.35640119994059,58.35640119994059,58.35640119994059,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
5,0,5,0,,,,,58.3867755997926,58.3867755997926,58.35640119994059,59.28787769982591,59.28787769982591,left,0.6986673998180777,60.488479799823835,60.488479799823835,60.488479799823835,63.49114609998651,63.49114609998651,63.49114609998651,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
6,0,6,0,,,,,63.59105769987218,63.59105769987218,63.49114609998651,64.49169830000028,64.49169830000028,left,0.5507457000203431,65.55929029989056,65.55929029989056,65.55929029989056,,,,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
7,0,7,0,,,,,68.64525029994547,68.64525029994547,68.56185379996896,69.54598779999651,69.54598779999651,left,0.8727027999702841,70.93039210001007,70.93039210001007,70.93039210001007,73.93300339998677,73.93300339998677,73.93300339998677,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
8,0,8,0,,,,,74.03316849982366,74.03316849982366,73.93300339998677,74.93358929990791,74.93358929990791,left,0.9081929998937994,76.35126369982027,76.35126369982027,76.35126369982027,79.35399149986915,79.35399149986915,79.35399149986915,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
9,0,9,0,,,,,79.45395719981752,79.45395719981752,79.35399149986915,80.35487089981325,80.35487089981325,left,0.9755128999240696,81.85655489983037,81.85655489983037,81.85655489983037,,,,,001,2023-03-23_17h58.42.627,feedback3,2022.2.5,60.24905750047462,
