trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,textbox.started,textbox2.started,scoreboard.started,key_resp.started,textbox_3.started,key_resp.keys,key_resp.rt,txt1.started,txt2.started,textbox_2.started,txt1.stopped,txt2.stopped,textbox_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,31.07338640000671,31.07338640000671,space,6.242894800147042,,,,,,,,,,,,,,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
0,0,0,0,,,,,37.471252399962395,37.471252399962395,37.471252399962395,38.31945999991149,38.31945999991149,left,0.7085096002556384,39.537231099791825,39.537231099791825,39.537231099791825,42.567298099864274,42.567298099864274,42.567298099864274,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
1,0,1,0,,,,,42.639595199842006,42.639595199842006,42.567298099864274,43.540966499829665,43.540966499829665,left,0.7996320002712309,44.841684699989855,44.841684699989855,44.841684699989855,47.91757999989204,47.91757999989204,47.91757999989204,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
2,0,2,0,,,,,47.94456019997597,47.94456019997597,47.91757999989204,48.84509989991784,48.84509989991784,left,0.7115441001951694,50.07922149985097,50.07922149985097,50.07922149985097,,,,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
3,0,3,0,,,,,53.165411699796095,53.165411699796095,53.11229919991456,54.06607980001718,54.06607980001718,left,0.6580601001624018,55.25022509996779,55.25022509996779,55.25022509996779,,,,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
4,0,4,0,,,,,58.33626109990291,58.33626109990291,58.25266319978982,59.23679499980062,59.23679499980062,left,0.6070218000095338,60.35433999984525,60.35433999984525,60.35433999984525,63.4280926999636,63.4280926999636,63.4280926999636,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
5,0,5,0,,,,,63.45721869985573,63.45721869985573,63.4280926999636,64.35773549997248,64.35773549997248,left,1.5826950001064688,66.44271859992296,66.44271859992296,66.44271859992296,69.44567049993202,69.44567049993202,69.44567049993202,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
6,0,6,0,,,,,69.54524739994667,69.54524739994667,69.44567049993202,70.44633109983988,70.44633109983988,left,0.37328810011968017,71.34666459984146,71.34666459984146,71.34666459984146,,,,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
7,0,7,0,,,,,74.43315159995109,74.43315159995109,74.34947359981015,75.33341309987009,75.33341309987009,left,0.6068424999248236,76.4510990998242,76.4510990998242,76.4510990998242,79.45328429993242,79.45328429993242,79.45328429993242,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
8,0,8,0,,,,,79.55346570000984,79.55346570000984,79.45328429993242,80.45447579980828,80.45447579980828,right,1.0063616000115871,81.97255569999106,81.97255569999106,81.97255569999106,84.9749121000059,84.9749121000059,84.9749121000059,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
9,0,9,0,,,,,85.07477349997498,85.07477349997498,84.9749121000059,85.9758866999764,85.9758866999764,right,0.7334411002229899,87.21522929985076,87.21522929985076,87.21522929985076,,,,,001,2023-03-23_17h50.34.366,feedback3,2022.2.5,59.706803774995095,
