timestamps,TP9,Fp1,Fp2,TP10,stim
1676923574.317717,13.18359375,16.11328125,-19.53125,-32.71484375,0.0
1676923574.322717,-30.76171875,9.27734375,-15.625,-16.6015625,0.0
1676923574.3277168,-46.38671875,-18.5546875,-45.41015625,-3.90625,0.0
1676923574.3327167,0.9765625,-29.78515625,-67.3828125,-10.25390625,0.0
1676923574.3353415,23.4375,-30.2734375,-56.640625,-26.85546875,0.0
1676923574.3379664,-19.53125,-36.1328125,-47.8515625,-20.99609375,0.0
1676923574.3405912,-46.875,-28.3203125,-44.43359375,-3.41796875,0.0
1676923574.343216,-14.6484375,-16.11328125,-56.640625,-7.32421875,0.0
1676923574.3458407,19.04296875,-5.37109375,-66.40625,-26.3671875,0.0
1676923574.3484654,-2.44140625,-22.4609375,-65.4296875,-20.01953125,0.0
1676923574.3510904,-45.41015625,-35.15625,-73.2421875,-0.48828125,0.0
1676923574.3537152,-20.5078125,-33.203125,-63.96484375,-4.8828125,0.0
1676923574.35634,37.109375,-42.48046875,-49.31640625,-11.23046875,0.0
1676923574.358965,28.3203125,-31.25,-47.36328125,-5.859375,0.0
1676923574.3615897,-30.76171875,-13.671875,-36.62109375,7.32421875,0.0
1676923574.3642144,-33.203125,-24.90234375,-30.2734375,0.9765625,0.0
1676923574.3678505,21.97265625,-23.92578125,-48.828125,-17.08984375,0.0
1676923574.3714867,31.25,-0.9765625,-44.43359375,-13.18359375,0.0
1676923574.3751228,-23.92578125,-3.90625,-35.15625,5.859375,0.0
1676923574.378759,-43.9453125,-12.20703125,-42.48046875,6.8359375,0.0
1676923574.382395,7.8125,-28.3203125,-44.921875,-4.39453125,0.0
1676923574.3860312,31.25,-66.89453125,-60.05859375,-14.6484375,0.0
1676923574.3896673,-9.765625,-48.828125,-69.3359375,0.9765625,0.0
1676923574.3933034,-40.52734375,-29.78515625,-54.19921875,13.671875,0.0
1676923574.3969395,-4.39453125,-44.43359375,-51.26953125,4.39453125,0.0
1676923574.4005756,35.15625,-28.3203125,-57.12890625,-9.765625,0.0
1676923574.4042118,5.859375,-2.44140625,-47.8515625,-10.7421875,0.0
1676923574.407848,-43.9453125,6.34765625,-42.48046875,4.39453125,0.0
1676923574.412834,-22.94921875,-3.90625,-45.41015625,3.90625,0.0
1676923574.41782,34.66796875,-37.59765625,-64.94140625,-7.8125,0.0
1676923574.422806,26.85546875,-49.8046875,-56.15234375,-1.953125,0.0
1676923574.427792,-29.78515625,-20.5078125,-38.0859375,9.27734375,0.0
1676923574.4327781,-38.57421875,-21.97265625,-48.33984375,12.20703125,0.0
