timestamps,TP9,Fp1,Fp2,TP10,stim
1676923261.2438836,-48.33984375,-27.83203125,-30.2734375,-11.71875,0.0
1676923261.2476292,-42.96875,-24.4140625,-33.69140625,-30.76171875,0.0
1676923261.2513747,-35.15625,-27.83203125,-38.0859375,-28.80859375,0.0
1676923261.2551203,-33.203125,-27.83203125,-38.57421875,-19.53125,0.0
1676923261.258979,-42.48046875,-26.85546875,-37.59765625,-37.109375,0.0
1676923261.262838,-50.29296875,-28.80859375,-34.1796875,-32.2265625,0.0
1676923261.266697,-36.62109375,-30.2734375,-27.34375,6.34765625,0.0
1676923261.2705557,-23.4375,-29.78515625,-32.2265625,10.25390625,0.0
1676923261.2744145,-40.0390625,-29.78515625,-34.66796875,-16.6015625,0.0
1676923261.2782733,-50.78125,-31.73828125,-28.80859375,-14.6484375,0.0
1676923261.2821321,-38.57421875,-32.2265625,-26.85546875,17.08984375,0.0
1676923261.285991,-42.48046875,-32.2265625,-30.2734375,17.578125,0.0
1676923261.2898498,-41.9921875,-30.76171875,-37.109375,-8.30078125,0.0
1676923261.2937088,-37.109375,-32.71484375,-38.57421875,-24.90234375,0.0
1676923261.2975676,-20.99609375,-26.85546875,-36.62109375,-12.6953125,0.0
1676923261.3014264,-11.71875,-21.97265625,-36.1328125,2.9296875,0.0
1676923261.3063455,-16.11328125,-24.4140625,-31.25,4.39453125,0.0
1676923261.3112645,-31.25,-26.85546875,-28.80859375,-12.6953125,0.0
1676923261.3161836,-36.62109375,-24.90234375,-33.69140625,-20.99609375,0.0
1676923261.3211026,-12.20703125,-27.34375,-37.59765625,3.90625,0.0
1676923261.3260217,-23.92578125,-34.66796875,-41.50390625,10.7421875,0.0
1676923261.3309407,-48.33984375,-37.109375,-41.015625,-12.6953125,0.0
1676923261.3358595,-43.45703125,-32.71484375,-40.52734375,-11.71875,0.0
1676923261.3407786,-22.94921875,-31.25,-43.9453125,-9.27734375,0.0
1676923261.3456976,-5.37109375,-31.73828125,-42.48046875,-6.34765625,0.0
1676923261.3506167,-20.99609375,-28.80859375,-38.57421875,-9.27734375,0.0
1676923261.3555357,-45.8984375,-33.203125,-34.1796875,-23.92578125,0.0
1676923261.3604548,-37.59765625,-37.109375,-32.2265625,3.41796875,0.0
1676923261.364181,-17.08984375,-34.1796875,-27.83203125,17.578125,0.0
1676923261.3679073,-18.5546875,-33.203125,-26.85546875,-13.18359375,0.0
1676923261.3716335,-35.64453125,-40.0390625,-32.71484375,-22.4609375,0.0
1676923261.3753595,-27.34375,-40.52734375,-34.1796875,-5.859375,0.0
1676923261.3790858,-16.11328125,-38.57421875,-34.66796875,16.11328125,0.0
1676923261.382812,-24.90234375,-40.52734375,-36.62109375,25.87890625,0.0
1676923261.3865383,-47.36328125,-37.59765625,-34.66796875,10.25390625,0.0
1676923261.3902645,-43.9453125,-31.73828125,-31.73828125,-6.34765625,0.0
1676923261.3939905,-18.5546875,-29.296875,-33.203125,-5.37109375,0.0
1676923261.3977168,-10.7421875,-24.4140625,-31.25,2.9296875,0.0
1676923261.401443,-30.2734375,-22.4609375,-27.83203125,9.765625,0.0
1676923261.4051692,-20.01953125,-29.78515625,-31.25,0.48828125,0.0
1676923261.4089158,-15.625,-34.1796875,-33.69140625,-16.11328125,0.0
1676923261.4126623,-37.59765625,-31.73828125,-29.78515625,11.23046875,0.0
1676923261.4164088,-41.015625,-30.2734375,-26.85546875,17.08984375,0.0
1676923261.4201553,-49.8046875,-28.80859375,-24.90234375,-20.5078125,0.0
1676923261.4239018,-35.64453125,-24.4140625,-24.90234375,-16.11328125,0.0
1676923261.427648,-17.08984375,-25.390625,-25.87890625,6.34765625,0.0
1676923261.4313946,-26.3671875,-30.76171875,-30.76171875,-3.90625,0.0
1676923261.435141,-40.0390625,-28.80859375,-32.2265625,-33.203125,0.0
1676923261.4388876,-41.9921875,-29.78515625,-29.78515625,-22.4609375,0.0
1676923261.442634,-29.296875,-31.73828125,-29.296875,9.765625,0.0
1676923261.4463806,-19.04296875,-22.4609375,-31.73828125,-5.37109375,0.0
1676923261.4501271,-38.0859375,-24.90234375,-34.1796875,-25.87890625,0.0
1676923261.4551334,-35.64453125,-40.0390625,-37.59765625,-38.57421875,0.0
1676923261.4601398,-16.11328125,-37.109375,-39.55078125,-22.4609375,0.0
1676923261.465146,-25.87890625,-27.83203125,-36.1328125,6.8359375,0.0
1676923261.4701526,-24.90234375,-27.83203125,-35.15625,6.8359375,0.0
1676923261.475159,-18.06640625,-25.390625,-35.15625,-7.32421875,0.0
1676923261.4801652,-12.20703125,-27.34375,-33.69140625,-0.9765625,0.0
1676923261.4851716,-12.6953125,-28.80859375,-33.203125,-0.48828125,0.0
1676923261.4901779,-17.578125,-29.296875,-33.69140625,-10.25390625,0.0
1676923261.4951844,-19.04296875,-29.78515625,-39.0625,-3.41796875,0.0
1676923261.5001907,-17.08984375,-30.76171875,-43.9453125,-1.46484375,0.0
1676923261.505197,-10.25390625,-37.59765625,-37.59765625,6.34765625,0.0
1676923261.5102034,-7.8125,-37.109375,-32.71484375,15.13671875,0.0
1676923261.5127308,-21.484375,-32.71484375,-32.71484375,-10.25390625,0.0
1676923261.515258,-22.4609375,-29.78515625,-31.25,-13.18359375,0.0
1676923261.5177855,-9.27734375,-29.296875,-32.71484375,22.4609375,0.0
1676923261.520313,6.8359375,-28.3203125,-38.0859375,29.78515625,0.0
1676923261.5228403,-3.41796875,-28.3203125,-40.0390625,3.41796875,0.0
1676923261.5253677,-10.25390625,-24.4140625,-37.59765625,-5.37109375,0.0
1676923261.5278952,14.6484375,-17.578125,-31.73828125,41.50390625,0.0
1676923261.5304224,21.97265625,-20.01953125,-27.83203125,56.640625,0.0
1676923261.53295,3.41796875,-18.06640625,-24.90234375,9.27734375,0.0
1676923261.5354774,-15.13671875,-19.53125,-27.83203125,-11.71875,0.0
1676923261.5380046,0.0,-25.390625,-34.66796875,-12.20703125,0.0
1676923261.540532,17.578125,-22.4609375,-30.2734375,13.671875,0.0
1676923261.544255,7.8125,-21.484375,-25.87890625,20.5078125,0.0
1676923261.547978,-14.6484375,-21.484375,-28.80859375,-19.04296875,0.0
1676923261.551701,-14.16015625,-24.4140625,-29.78515625,-6.34765625,0.0
1676923261.555424,-2.44140625,-24.4140625,-32.2265625,18.06640625,0.0
1676923261.559147,-18.06640625,-25.87890625,-31.25,27.34375,0.0
1676923261.5628698,-36.62109375,-30.2734375,-30.76171875,-2.9296875,0.0
1676923261.5665927,-36.1328125,-32.2265625,-30.2734375,-24.4140625,0.0
1676923261.5703156,-27.83203125,-31.25,-28.80859375,15.13671875,0.0
1676923261.5740385,-37.59765625,-31.25,-32.71484375,17.08984375,0.0
1676923261.5777617,-59.5703125,-32.2265625,-33.69140625,-20.01953125,0.0
1676923261.5814846,-55.17578125,-34.1796875,-27.34375,-28.3203125,0.0
1676923261.5852075,-35.15625,-34.1796875,-23.4375,5.859375,0.0
1676923261.5889509,-34.1796875,-36.1328125,-27.83203125,16.6015625,0.0
1676923261.5926943,-46.38671875,-39.0625,-24.4140625,-9.765625,0.0
1676923261.5964375,-42.48046875,-39.55078125,-24.90234375,-9.27734375,0.0
1676923261.6001809,-23.4375,-33.203125,-28.80859375,14.6484375,0.0
1676923261.6039243,-5.37109375,-29.78515625,-23.4375,21.484375,0.0
1676923261.6076677,-16.6015625,-38.57421875,-25.390625,11.71875,0.0
1676923261.611411,-36.1328125,-46.875,-32.2265625,-4.8828125,0.0
